SubjectID,Document1,Document2,Similarity,Time
1,15,4,1,25.417
1,8,7,4,9.764
2,17,1,1,56.061
2,19,1,1,39.767
2,20,1,1,37.344
2,25,1,1,14.371
2,33,1,5,7.962
2,40,1,1,22.262
2,50,1,4,15.172
2,4,2,1,37.805
2,15,2,1,35.301
2,36,2,1,20.600
2,12,3,3,16.023
2,14,3,2,51.434
2,18,3,4,45.145
2,21,3,1,35.581
2,37,3,2,15.973
2,21,4,3,8.432
2,22,4,1,5.558
2,4,5,2,62.469
2,8,5,1,37.413
2,14,5,1,35.400
2,37,5,1,32.977
2,10,6,1,4.537
2,23,6,1,4.557
2,37,6,1,14.201
2,4,7,4,20.119
2,6,7,1,3.044
2,10,7,2,52.986
2,19,7,1,25.958
2,32,7,1,27.710
2,33,7,1,126.872
2,36,7,3,39.016
2,37,7,1,54.078
2,46,7,1,16.513
2,11,8,3,71.763
2,31,8,1,5.778
2,38,8,1,40.208
2,21,9,1,23.804
2,23,9,1,7.531
2,38,9,1,15.132
2,49,9,1,46.386
2,50,9,1,31.916
2,21,10,3,13.189
2,25,10,1,21.480
2,31,10,1,11.937
2,42,10,3,3.985
2,49,10,1,21.541
2,13,11,1,19.899
2,19,11,1,11.277
2,25,11,1,5.448
2,35,11,1,13.390
2,44,11,3,5.057
2,45,11,1,21.181
2,49,11,3,13.409
2,16,12,4,9.413
2,6,13,1,44.414
2,30,13,1,15.522
2,40,13,1,22.322
2,43,13,1,31.044
2,50,13,1,25.437
2,4,14,1,20.740
2,10,14,1,21.371
2,20,15,1,6.610
2,26,15,1,28.301
2,36,15,1,10.054
2,4,16,3,42.592
2,29,16,2,25.196
2,38,16,1,7.090
2,48,16,1,19.819
2,50,16,1,22.523
2,12,17,1,10.675
2,26,17,1,18.106
2,41,17,1,14.881
2,43,17,1,20.300
2,49,17,1,12.408
2,50,17,1,19.839
2,8,18,1,6.459
2,10,18,1,25.537
2,25,18,3,9.023
2,2,20,1,4.587
2,5,20,1,29.212
2,21,20,1,25.897
2,23,20,1,3.575
2,31,20,1,41.940
2,38,20,2,13.269
2,44,20,1,19.017
2,47,20,1,23.474
2,8,21,4,40.288
2,36,21,4,21.931
2,45,21,1,9.334
2,27,22,1,27.340
2,28,22,1,33.308
